Title,Genre,Premiere,Runtime,IMDB Score,Language,release_year,month,duration_min
Enter the Anime,Documentary,2019-08-05,58,2.5,English/Japanese,2019,August,58
Dark Forces,Thriller,2020-08-21,81,2.6,Spanish,2020,August,81
The App,Science fiction/Drama,2019-12-26,79,2.6,Italian,2019,December,79
The Open House,Horror thriller,2018-01-19,94,3.2,English,2018,January,94
Kaali Khuhi,Mystery,2020-10-30,90,3.4,Hindi,2020,October,90
Drive,Action,2019-11-01,147,3.5,Hindi,2019,November,147
Leyla Everlasting,Comedy,2020-12-04,112,3.7,Turkish,2020,December,112
The Last Days of American Crime,Heist film/Thriller,2020-06-05,149,3.7,English,2020,June,149
Paradox,Musical/Western/Fantasy,2018-03-23,73,3.9,English,2018,March,73
Sardar Ka Grandson,Comedy,2021-05-18,139,4.1,Hindi,2021,May,139
Searching for Sheela,Documentary,2021-04-22,58,4.1,English,2021,April,58
The Call,Drama,2020-11-27,112,4.1,Korean,2020,November,112
Whipped,Romantic comedy,2020-09-18,97,4.1,Indonesian,2020,September,97
All Because of You,Action comedy,2020-10-01,101,4.2,Malay,2020,October,101
Mercy,Thriller,2016-11-22,90,4.2,English,2016,November,90
After the Raid,Documentary,2019-12-19,25,4.3,Spanish,2019,December,25
Ghost Stories,Horror anthology,2020-01-01,144,4.3,Hindi,2020,January,144
The Last Thing He Wanted,Political thriller,2020-02-21,115,4.3,English,2020,February,115
What Happened to Mr. Cha?,Comedy,2021-01-01,102,4.3,Korean,2021,January,102
Death Note,Horror thriller,2017-08-25,100,4.4,English,2017,August,100
"Hello Privilege. It's Me, Chelsea",Documentary,2019-09-13,64,4.4,English,2019,September,64
Secret Obsession,Thriller,2019-07-18,97,4.4,English,2019,July,97
Sextuplets,Comedy,2019-08-16,99,4.4,English,2019,August,99
The Girl on the Train,Thriller,2021-02-26,120,4.4,Hindi,2021,February,120
Thunder Force,Superhero-Comedy,2021-04-09,105,4.4,English,2021,April,105
Fatal Affair,Thriller,2020-07-16,89,4.5,English,2020,July,89
Just Say Yes,Romantic comedy,2021-04-02,97,4.5,Dutch,2021,April,97
Seriously Single,Comedy,2020-07-31,107,4.5,English,2020,July,107
The Misadventures of Hedi and Cokeman,Comedy,2021-02-10,99,4.5,French,2021,February,99
5 Star Christmas,Comedy,2018-12-07,95,4.6,Italian,2018,December,95
After Maria,Documentary,2019-05-24,37,4.6,English/Spanish,2019,May,37
I Am the Pretty Thing That Lives in the House,Horror,2016-10-28,89,4.6,English,2016,October,89
